Stock,First Date,Last Date,stock_type,trade_days,market_return,stock_return,model_type,relative_return,diff_return,buy&hold return,relative_B&H_return,Highest_return
KR7005930003,2014-09-23,2023-05-12,kospi,3153.0,61.7506312898829,1631.500385160541,GBT,2542.0788760872847,910.5784909267436,122.75614809483999,98.79334920249165,"('relative', 2542.0788760872847)"
KR7000250001,2016-07-22,2023-05-12,kosdaq,2485.0,82.22951637374798,89.26282303185,NaiveBayes,8.553262828561916,-80.70956020328809,565.672577464618,587.9191346493321,"('buy&hold', 587.9191346493321)"
KR7036570000,2016-06-29,2023-05-12,kospi,2508.0,57.97918696500774,110.5407207862,SVM,90.65586561763068,-19.88485516856933,68.08569824409,17.431274579931333,"('relative', 90.65586561763068)"
KR7051910008,2016-09-22,2023-05-12,kospi,2423.0,49.87113009725911,144.6145210065,GBT,189.97642669109663,45.36190568459665,207.05504768688,315.1801799619929,"('buy&hold', 315.1801799619929)"
KR7066700006,2017-08-22,2023-05-12,kosdaq,2089.0,79.38858327768668,183.014166492874,DecisionTree,130.52957860795183,-52.48458788492218,7.5839502559624,-90.44705177640576,"('relative', 130.52957860795183)"
KR7066970005,2017-03-22,2023-05-12,kosdaq,2242.0,99.55094601054364,1088.769970720595,GBT,993.681189735034,-95.0887809855609,2223.95134045848,2133.9831308312596,"('buy&hold', 2133.9831308312596)"
KR7068760008,2018-03-06,2023-05-12,kosdaq,1893.0,42.22534950448588,-16.84180159528,SVM,-139.8855232530184,-123.0437216577384,9.794645421924,-76.80387365205004,"('buy&hold', -76.80387365205004)"
KR7078600004,2017-10-27,2023-05-12,kosdaq,2023.0,64.30366677626643,115.93450655778,SVM,80.29221717814976,-35.64228937963024,1018.1269480154906,1483.3108733252934,"('buy&hold', 1483.3108733252934)"
KR7096770003,2018-08-13,2023-05-12,kospi,1733.0,30.28926520767524,16.3340418806,RandomForest,-46.073165629448845,-62.40720751004885,-7.988469936216,-126.3739310988361,"('relative', -46.073165629448845)"
KR7128940004,2019-07-16,2023-05-12,kospi,1396.0,40.51803900640148,101.20424995965,SVM,149.77578491313622,48.57153495348622,9.26578656,-77.13170038032666,"('relative', 149.77578491313622)"
KR7185750007,2020-07-20,2023-05-12,kospi,1026.0,31.6531888159023,32.783512544530005,RandomForest,3.5709632138542684,-29.21254933067573,-21.210731259842,-167.0097770660816,"('relative', 3.5709632138542684)"
KR7192080000,2021-02-16,2023-05-12,kospi,815.0,-10.285308523758925,17.471531327119997,DecisionTree,-269.86881129293295,-287.3403426200529,-25.231602849462497,145.31692745217933,"('buy&hold', 145.31692745217933)"
KR7207940008,2021-06-04,2023-05-12,kospi,707.0,-13.538811665279162,52.7486997,RandomForest,-489.6110013501126,-542.3597010501126,0.014846259999999998,-100.10965703908914,"('buy&hold', -100.10965703908914)"
KR7225570001,2021-02-03,2023-05-12,kosdaq,828.0,0.5107211254269076,66.80189077816901,SVM,12979.915329981672,12913.113439203502,197.27037911347202,38525.85064374914,"('buy&hold', 38525.85064374914)"
KR7247540008,2022-02-10,2023-05-12,kosdaq,456.0,0.1190966349397103,111.68857179126,RandomForest,93679.78802490896,93568.0994531177,204.20924176902,171365.165134511,"('buy&hold', 171365.165134511)"
KR7251270005,2021-07-27,2023-05-12,kospi,654.0,-13.816329812064392,-0.70352941387,DecisionTree,-94.90798624931725,-94.20445683544725,-57.97735616903999,319.6292138192465,"('buy&hold', 319.6292138192465)"
KR7263750002,2021-09-02,2023-05-12,kosdaq,617.0,-11.19128258980365,-3.5912758000000005,RandomForest,-67.91006061028249,-64.31878481028248,-52.524821148,369.33692118412984,"('buy&hold', 369.33692118412984)"
KR7293490009,2022-07-27,2023-05-12,kosdaq,289.0,9.562889615243256,12.38252948093,NaiveBayes,29.485228619519305,17.102699138589305,-16.9737283865115,-277.49581004736643,"('relative', 29.485228619519305)"
KR7373220003,2022-12-23,2023-05-12,kospi,140.0,7.110312375931997,30.934800000000003,NaiveBayes,335.06949293412964,304.13469293412965,19.91223,180.04718987314493,"('relative', 335.06949293412964)"
