file_name,best_sparsity,best_rho,best_noise,profits,matching_percentage
new_KR7005930003.csv,0.1,1.7,0.01,202.00163664750002,62.90550070521862
new_KR7000250001.csv,0.4,1.7,0.1,706.65711742278,66.6865671641791
new_KR7036570000.csv,0.4,1.3,0.001,109.12393658879999,48.69976359338061
new_KR7051910008.csv,0.4,1.3,0.1,492.11770675270003,64.77064220183486
new_KR7066700006.csv,0.2,1.7,0.01,369.80983254853,61.57670454545454
new_KR7066970005.csv,0.4,1.3,0.01,1659.3936090811649,61.61482461945731
new_KR7068760008.csv,0.1,1.7,0.01,491.24316413127997,49.609375
new_KR7078600004.csv,0.4,1.7,0.01,687.394044160795,65.37335285505125
new_KR7096770003.csv,0.3,1.3,0.1,76.36453534067999,59.77796754910333
new_KR7128940004.csv,0.2,1.3,0.01,195.83509680695,58.350951374207185
new_KR7185750007.csv,0.3,0.9,0.001,76.33199161432,21.26436781609195
new_KR7192080000.csv,0.4,1.3,0.1,27.568908171329998,45.585585585585584
new_KR7207940008.csv,0.1,1.7,0.1,44.4338056,48.333333333333336
new_KR7225570001.csv,0.3,1.7,0.1,494.19162753402003,39.14590747330961
new_KR7247540008.csv,0.1,1.3,0.001,609.3717405465,46.30225080385852
new_KR7251270005.csv,0.3,1.3,0.001,5.94497396583,31.376975169300223
new_KR7263750002.csv,0.4,0.9,0.1,42.371047696699996,24.700239808153476
new_KR7293490009.csv,0.1,1.3,0.01,28.70297682586,61.42131979695431
new_KR7373220003.csv,0.3,1.3,0.1,34.749,54.736842105263165
